001E	PR-FDG	T210
933B	PP-MVH	LJ75
933C	PR-LPB	BE36
9343	PR-ZIQ	E295
9346	PR-YYD	A20N
9347	PR-CFR	PAY1
934A	PR-VNZ	PC12
934C	PP-CPR	LJ40
934D	PR-MGZ	BE9L
9350	PR-LUW	BE55
9351	PR-EAK	BE20
9352	PP-JFJ	BE9L
935A	PP-BLO	E35L
9360	PP-OHJ	R66
9361	PT-FCE	P46T
9362	PP-ADK	T206
9363	PR-VHA	BE58
9364	PP-VIA	BE58
9365	PT-LZF	BE36
9368	PR-YRJ	A20N
9369	PR-YRL	A20N
936A	PR-YRK	A20N
936D	PT-SUS	AS50
936E	PP-SAV	AS50
9370	PP-JMR	C56X
9371	PR-PGA	BE20
9374	PR-RDG	E55P
9378	EB2029	AS65
937A	PR-ZIH	RV10
937B	PR-ZLZ	RV10
937C	PR-ZHZ	RV10
937D	PP-LFM	BE9L
937F	PR-JRY	FA8X
9381	PR-BVB	WW24
9383	PR-NVT	PC12
9384	PR-SDQ	B733
9385	PT-ROC	P28T
9388	PR-YYC	A20N
938D	PR-CJT	B429
9390	PR-YYF	A20N
9391	PR-GNO	DA62
939B	PR-PCH	F2TH
939C	PT-BYZ	CL35
939E	PR-HJA	C25M
93A0	PP-JCC	E550
93A4	PR-ZNB	RV10
93A6	PP-ZGQ	RV10
93A9	PR-OHP	A189
93AA	PU-ZEE	TL30
93AC	PR-PJA	B350
93AD	PP-NDF	SR22
93AE	PR-IOO	BE9L
93AF	PR-CRP	LJ45
93B1	PP-NEO	B429
93B2	PT-ZNW	RV10
93B3	PR-PFL	P46T
93B4	PR-TGG	BE9L
93B5	PT-VLX	PAT4
93B6	PT-VEV	PAT4
93B7	PT-EUX	PAT4
93B9	PR-YRN	A20N
93BB	PT-LNP	BE58
93BC	PR-SLC	BE35
93BD	PR-BLS	E55P
93BE	PP-JBE	AC50
93C1	PR-ZJZ	RV10
93C3	PR-RVG	PA46
93C4	PP-ENL	E50P
93C5	PR-YRO	A20N
93CA	PR-BNE	P46T
93CB	PR-FJV	P46T
93CD	PP-AMU	SR22
93CF	PR-TLI	DA62
93D1	PR-YRQ	A20N
93D2	PT-ZKW	RV10
93D3	PR-SVN	FA7X
93D4	PR-CPG	SR22
93D5	PT-OQY	AC90
93D6	PP-NLD	E55P
93D8	PP-DZE	C750
93DA	PR-RIF	C25M
93DD	PP-JMF	C25M
93DE	PR-PTG	E35L
93DF	PR-LMO	P28U
93E0	PR-PIL	PC12
93E4	PP-ACR	C172
93E5	PR-AKJ	AT76
93E6	PP-AFN	B350
93E8	PR-AKL	AT76
93EA	PP-KIT	E50P
93ED	PR-ZDY	RV10
93EF	PR-JFV	BE9L
93F0	PP-MTE	C680
93F2	PR-KEA	GLF4
93F3	PR-SDH	B735
93F4	PR-BUR	BE9L
93F5	PT-LNL	BE35
93FB	PP-SBP	C25M
93FE	PT-KPI	BE36
9400	PP-JRJ	DA62
9401	PP-IFC	P46T
9402	PP-BBF	P46T
9403	PR-MSO	A169
9404	PR-GVI	GLF6
9405	PR-XMB	B38M
9406	PR-XMA	B38M
9407	PR-DLD	DA62
9408	PT-GCR	E545
940C	PR-TST	BE9L
940D	PR-HDH	PA46
940E	PR-DVT	E50P
940F	PR-PML	C208
9410	PT-ZUS	RV10
9411	PT-ZOD	RV10
9413	EB1021	AS65
9417	PT-TPO	A109
9418	PT-ODZ	C550
941B	PR-ANY	A339
941C	PR-ANZ	A339
941F	PR-CRV	BE20
9420	PR-CGE	S92
9422	PR-LBE	SR22
9424	PR-GBI	BE20
9425	PR-VDX	C208
9429	PP-JRH	B505
942A	PP-JRX	B505
942B	PR-ZRW	RV10
942C	PP-ZZX	RV10
942E	PR-ZZD	RV10
9430	PT-OFB	BE9T
9431	PR-OHS	AT45
9432	PT-OTV	PAY1
9434	PR-BVT	PAY1
9437	PR-AJZ	B734
9438	PR-AJY	B734
9439	PR-SMG	G150
943B	PR-CGF	S92
943C	PR-LNI	SR22
943E	PR-XMD	B38M
943F	PR-XMC	B38M
9441	PR-CGH	S92
9443	PR-YRR	A20N
9444	PR-YRS	A20N
9445	PR-YRT	A20N
9446	PR-YRU	A20N
9447	PP-ARY	EC35
9448	PR-EBS	EC35
9449	PR-UJM	P46T
944E	PR-XBA	A20N
944F	PR-XBB	A20N
9450	PR-XBC	A20N
9453	PT-OPR	BE9L
9457	PP-YBD	B733
9458	PT-EVM	PA34
945B	PP-ZZL	RV10
945C	PR-ZKD	RV10
945E	PT-GAD	EC35
945F	PT-GAX	EC35
9460	PR-OHX	A139
9461	PT-VSZ	PA34
9465	PR-IAV	DA62
9468	PR-DDN	S22T
946A	PP-CHE	PAY2
946B	PT-VML	PA32
9470	PR-CGO	A139
9471	PP-LKS	BE9L
9472	PR-FJB	LJ75
9475	PR-XME	B38M
9476	PR-XMF	B38M
9477	PP-AJI	DA62
9478	PR-CGN	A139
9479	PR-CGJ	A139
947C	PR-DBS	E50P
947D	PR-NGO	B505
947F	PT-EGB	EC45
9480	PR-HHR	B505
9481	PR-FLS	P46T
9484	PR-BBC	A109
948B	PR-YRV	A20N
948C	PR-YRW	A20N
948E	PR-EDT	C25M
9494	PR-GDJ	P46T
9496	PR-RET	SR22
9497	PT-ZTU	E314
949A	PR-XBD	A20N
949F	PR-YRX	A20N
94A2	FAB2854	E390
94A3	FAB2855	E390
94A4	FAB2856	E390
94A5	FAB2857	E390
94A6	FAB2858	E390
94A7	FAB2859	E390
94AB	PR-NDO	BE9L
94AD	PP-ZZH	RV10
94AE	PR-ZTU	RV10
94B3	PR-YRY	A20N
94B4	PR-YRZ	A20N
94B5	PP-BFA	BE9L
94B8	PR-ICE	EC30
94B9	PT-GLG	PAY1
94BB	PR-XMH	B38M
94BC	PR-XMG	B38M
94BE	PU-ZDE	P208
94BF	PU-LRA	RV9
94C0	PR-TBR	BE9L
94C2	PP-PML	B505
94C9	PR-EPJ	C172
94CA	PR-SKG	C172
94CB	PR-SKF	C172
94CE	PR-EZJ	C172
94CF	PP-DJF	A169
94D0	PT-VPM	PA32
94D1	PP-OPC	FA50
94D2	PP-OES	LJ40
94D3	PT-OMZ	BE9L
94D4	PP-FOY	BE10
94D5	PT-JLL	BE36
94D7	PR-OHK	S92
94D8	PR-CJP	E55P
94DA	PP-IJG	PC12
94DB	PR-SKD	C172
94DF	PR-DYB	GLEX
94E0	PU-LJI	RV12
94E2	PR-FZR	HDJT
94E3	PT-WMT	BE9L
94E5	PR-HUF	PC12
94E8	PR-JLQ	P46T
94EB	PR-GMM	SR22
94EC	PR-SBK	B429
94EE	PR-SLT	C208
94F1	PR-ANX	A339
94F2	PR-UND	LJ40
94F3	PT-SHO	E110
94F5	PR-TOG	B350
94F6	PR-YYB	A20N
94F7	PR-YYA	A20N
94F8	PT-ROL	P28S
94F9	PR-ANW	A339
94FA	PP-PMM	A169
94FE	PR-CPK	SR22
94FF	PP-PGA	C25B
9500	PR-SHE	B735
9501	PR-PGT	F2TH
9502	PP-BLK	BE20
9503	PR-ZRQ	RV10
9505	PR-GFT	GLF4
9506	PR-OGS	E55P
9507	PR-CMK	DA62
9508	PP-FTS	E50P
9509	PR-NFA	E55P
950A	PR-YSA	A20N
950B	PP-LHG	GLEX
950C	PR-YLO	A109
950D	PR-XMI	B38M
950E	PR-XMJ	B38M
9510	PT-ZTN	RV10
9511	PR-XMK	B38M
9512	PR-YJA	A21N
9514	PR-SFG	PA46
9519	PR-CND	B734
951F	PR-HRP	PA34
9520	PR-WBI	B505
9522	PR-XMX	B38M
9523	PR-XMW	B38M
9524	PR-XMV	B38M
9525	PR-XMU	B38M
9526	PR-XMT	B38M
9527	PR-XMS	B38M
9528	PR-XMR	B38M
9529	PR-XMQ	B38M
952A	PR-XMP	B38M
952B	PR-XMO	B38M
952D	PR-XMN	B38M
952E	PR-XMM	B38M
952F	PR-XML	B38M
9530	PP-BAK	BE58
9531	PP-HTM	TBM9
9532	N-7090	EC35
9538	PR-EML	P46T
9539	PR-ANV	A339
953A	PR-YSB	A20N
953B	PP-BII	BE9L
953C	PP-AGQ	BE20
953D	PR-XBE	A20N
9542	PP-WIZ	SF50
9543	PP-PEI	B505
9544	PP-IMH	BE9L
9545	PT-OLX	BE9L
9547	PT-MDJ	BE58
9548	PR-HMC	C25M
954A	PR-MIN	BE20
954C	PR-PIH	SR22
954D	PR-WDL	E55P
954E	PR-FEQ	PA34
954F	PR-NMB	PA34
9551	PR-RPM	R44
9552	PP-CGS	B350
9554	PR-VGD	C525
9555	3604	E550
9557	PR-CRM	BE58
9559	PT-TBM	TBM9
955B	PP-ZHV	RV10
955C	6551	C295	A
955D	FAB6552	C295
955E	PP-JDA	HDJT
9562	PP-EBC	SR22
9563	PP-INA	E55P
9564	PR-SLU	B734
9565	PR-OMZ	SR22
9566	PR-PJS	B407
956B	PP-JNJ	B429
956C	PT-PST	B505
956D	PP-MSP	DA62
956E	PR-GZH	B738
956F	PR-GZI	B738
9570	PR-CPO	SR20
9574	PR-INF	HA4T
9575	PT-HBF	P46T
9578	PR-ZQS	RV4
9579	PR-FMY	A109
957A	PP-BHZ	R66
957B	PR-HAH	A109
957C	PT-EHV	PA34
957F	PR-ITG	B505
9580	PR-GCI	B505
9581	PT-ZDD	RV10
9583	PP-JTR	A109
9584	PP-JJP	PA46
9588	PR-FVJ	G150
9589	PR-PIO	BE9L
958A	PP-MUK	C25M
958B	PP-IFF	EC45
958D	PT-KUK	AC50
958E	PR-JVM	C208
958F	PP-LYG	C208
9590	PR-YSD	A20N
9591	PR-YSC	A20N
9592	FAB3701	E50P
9593	FAB3702	E50P
9594	PR-FDN	B505
9595	PR-DBR	AC95
9596	PT-VQW	PA34
9597	PT-LQC	BE9T
9598	PR-WBS	C208
9599	PR-CFA	CL60
959A	PP-MLZ	CL60
959B	PR-BHZ	P46T
959C	PP-FCF	C25B
959D	PR-CPQ	SR22
959E	PR-CPU	SR22
959F	PT-VKA	PA31
95A1	PP-PFF	B505
95A7	PR-PFD	AT76
95AA	PP-BJR	B350
95AB	PP-WMS	GLF4
95AF	PT-RFG	PA34
95B1	PR-PJN	E295
95B2	PR-YSF	A20N
95B3	PR-YSE	A20N
95B4	PT-OEJ	BE58
95B6	PR-GPZ	C208
95B7	PR-RUZ	BE20
95BA	PR-KRC	PA34
95BB	PR-PGG	P46T
95BC	PS-HYC	BE9L
95BE	PS-JMN	EC30
95C1	PT-WFB	PAY2
95C2	PR-KIT	E550
95C6	PR-GEQ	B737
95C7	PT-RBZ	GLEX
95C8	PR-GZK	B738
95CC	PR-GZU	B738
95CD	PR-GZS	B738
95CE	PR-HVD	LJ75
95CF	PR-YJB	A21N
95D0	PR-YJC	A21N
95D2	PU-DCT	WT9
95D3	PS-FBL	E55P
95D4	PR-LPP	S22T
95D5	PS-FLC	A169
95D8	PS-AEB	E295
95D9	PS-CSM	BE20
95DA	PS-JET	SF50
95DB	PR-XBF	A20N
95DE	PS-AEA	E295
95DF	PS-AEC	E295
95E1	PS-ECD	B350
95E4	PS-CRA	DA62
95E5	PS-JJR	BE20
95E6	PS-HGT	B505
95E7	PS-FFF	B350
95E8	PS-JDS	B350
95E9	PR-GNI	C208
95EA	PR-BDB	E550
95EC	PR-IRS	B505
95ED	PS-MRF	BE20
95EE	PS-BCA	GLF5
95F0	PS-FPS	A109
95F1	PS-UQN	GLEX
95F3	PS-TMR	DA62
95F4	PR-ZXM	E275
95F5	PP-NTB	R66
95F8	PS-DFJ	E55P
95FA	PR-GZV	B738
95FB	PR-GZW	B738
95FC	PS-AED	E295
95FD	PS-ALV	PC12
95FE	PS-JBJ	AS50
9601	PS-MPS	C182
9602	PT-LYU	BE58
9603	PP-EJS	AS50
9605	PS-MKT	EC45
9606	PS-TBL	C208
9607	PR-LJB	E550
9608	PS-AEE	E295
960B	PR-EZZ	DA62
960D	PT-WOS	C208
960E	PR-SII	B350
960F	PS-DPM	DA62
9610	PR-PAF	PA31
9611	PS-ITG	C25M
9612	PR-RCF	C25B
9613	PT-RDS	B505
9614	PS-CAP	DA62
9615	PS-CML	B429
9616	PS-VHV	BE20
9618	PS-GRP	LJ75
961C	PS-FPG	E545
961D	PR-TCB	B505
9620	PS-RUM	B350
9621	PS-PLB	S22T
9623	PP-LYA	EC45
9626	PT-LDC	PA31
9627	PT-GMF	BE9L
962C	PP-WYD	R66
962D	PR-YSG	A20N
962E	PR-YJD	A21N
962F	PT-OON	C182
9631	PS-ZEN	C206
9632	PS-TAR	GLF5
9635	PS-GSV	BE9L
963A	PR-OHY	A139
963B	PR-ELK	R66
963E	PS-VCR	EC35
9640	PS-AEF	E295
9641	PS-AEG	E295
9643	PS-ARA	F2TH
9645	PS-RSM	GLF6
9646	PP-CMS	BE58
9647	PP-BRU	HDJT
9648	PS-ZGF	EC30
9649	PT-MMJ	EC45
964B	PR-PDS	AT45
964E	PT-IRO	C206
964F	PS-GAR	BE9L
9650	PR-UQN	B429
9651	PS-ASL	C25M
9654	PR-OHW	A139
9655	PP-FSC	BE36
9656	PS-EOR	E55P
9660	PR-PDT	AT75
9666	PT-OCD	BE58
9667	PS-CPV	C25B
966C	PR-SBV	S22T
966D	PS-AEH	E295
966F	PS-ALA	R66
9670	PP-HPR	BE20
9671	PT-OPK	BE33
9676	PS-JEM	E55P
9679	PR-PDM	P28A
967A	PS-RUN	CL35
967B	PT-OZA	C208
967C	PT-OGH	C208
967D	PR-JFN	MU2
967E	PS-DDA	G280
967F	PS-AEI	E295
9680	PS-VJZ	C560
9683	PS-LLA	P46T
9684	PS-SEB	C25M
9685	PR-KOT	PC24
9686	PR-GEU	B737
9687	PS-BFP	BE20
9688	PS-BTG	GL7T
9689	PS-MVX	E55P
9690	PS-PLC	SR22
9694	PS-CMF	A109
9695	PS-TMK	A109
9696	PS-JVP	GLIM
9697	PR-XBG	A20N
9698	PR-XBH	A20N
9699	PR-YSH	A20N
969A	PT-WEU	BE33
969B	PS-LIA	E190
96A4	PR-STF	BE9L
96A5	PR-VCG	BE55
96A6	PS-AAZ	BE20
96A7	PS-JML	PC12
96A8	PT-ODH	BE9L
96A9	PT-ZMB	RV8
96AB	PT-YKK	A109
96B0	PT-MED	C208
96B1	PT-OGP	C208
96B2	PT-MEO	C208
96B3	PT-MEY	C208
96B4	PP-CRP	DA42
96B5	PS-JPR	C25B
96B6	PT-WZN	C208
96B7	PS-EBI	DA62
96B8	PS-AVE	C82S
96B9	PP-EPV	C208
96BA	PS-OLV	F2TH
96BB	PS-OJM	P46T
96BC	PS-CTZ	C208
96BF	PS-AME	EA50
96C1	PR-GCS	BE9L
96C3	PR-HKS	BE40
96C5	PS-ARM	S76
96C6	PS-FSR	GLF5
96C8	PT-LCM	PC24
96CC	PR-SJO	PAY1
96D5	PS-LNL	LJ45
96DA	PS-HVD	LJ75
96DD	PT-RZF	P28T
96DE	PS-SES	C208
96E0	PS-WSD	BE20
96E2	PS-LID	LJ45
96E3	PR-DUF	E50P
96E7	PS-PPM	BE9L
96E8	PS-DPC	PC12
96EC	PS-AJR	BE9L
96F0	PR-AOY	A359
96F1	PS-DYB	B429
96F3	PS-AMF	BE20
96F4	PP-BJJ	BE9L
96F5	PT-RFR	PAT4
96F6	PS-RNF	BE20
96FB	PR-KCL	C172
96FC	PS-DOR	E55P
9700	PS-VRC	E545
9702	PS-IFT	TBM9
9706	PS-SLO	B350
9707	PS-VIP	BE20
9708	PS-KNG	B350
970B	PS-SCB	C208
970E	PS-SLA	BE40
970F	PS-LRE	P46T
9712	PS-INP	C25M
971A	PT-LPD	BE9L
971B	PS-JBS	B350
971C	PS-UVV	R66
971D	PS-UPS	R66
971F	PT-JAI	C180
9721	PR-RSF	PAY3
9723	PS-MIX	LJ40
9725	PS-MTR	GLF6
9726	PT-VCM	P28T
9727	PS-MMM	P46T
9729	PS-BCG	EC30
972A	PS-HAI	EC45
972B	PS-VEN	EC45
972D	PS-MCE	B505
972E	PS-BRE	BE20
972F	PS-ZOR	P46T
9732	PS-PAS	BE9L
9733	PS-BIO	BE9L
9735	PS-PLE	SR22
9736	PS-CEM	EC45
9737	PS-ASD	C208
9738	PS-PLD	S22T
973A	PR-OHV	A139
973B	PR-OHZ	A139
973C	PS-RLM	E55P
973D	PS-FAF	C208
973E	PP-AHM	BE20
9740	PS-DAS	P46T
9742	PT-STY	C210
9744	PS-SIM	C208
9746	PS-GFN	P46T
9747	PR-SLL	BE9T
9749	PS-MAG	BE9T
974A	PT-MAX	E121
974B	PS-NTS	E55P
974C	PS-RTR	BE20
974F	PS-ANV	B505
9750	PS-TOO	PC12
9759	PS-TLA	B734
975C	PS-ROM	C510
9763	PR-TQC	A320
9764	PR-TQB	A320
9765	PS-MCP	PC12
9766	PS-FAV	BE20
9767	PS-SJS	E50P
9768	PS-VIS	SF50
9769	PS-VIX	P46T
976B	PS-BRA	BE20
976D	PS-OJA	BE9L
976E	PS-JVM	LJ45
976F	PS-CTX	C208
9770	PS-JAJ	E550
9771	PT-CDD	BE35
9773	PS-SPJ	A320
9774	PS-SFA	LJ40
9775	PS-ALD	B505
9776	PS-PVS	LJ45
9777	PR-JPC	A119
9778	PS-MPL	C650
9779	PS-RJJ	M600
977B	PS-WSC	LJ45
977C	PS-CFA	BE20
977D	PS-MIG	PAY2
9780	PS-MFG	P46T
9783	PS-HEL	R66
9785	PS-AMA	PC24
9786	PS-ALJ	LJ45
9788	PS-FFE	DA62
978A	PS-MRD	BE58
978B	PR-INC	S22T
978E	PS-FGT	GLF6
978F	PS-PPL	PC12
9791	PS-ITA	A320
9792	PS-DNZ	A169
9794	PS-BCK	BE9T
9795	PR-VJF	C72R
9797	PS-JTM	B350
9798	PR-AAX	BE20
9799	PS-MID	P46T
979E	PR-SLI	B733
97A0	PS-NPB	E55P
97A1	PS-JPA	BE9L
97A2	PS-HDB	BE20
97A3	PP-NBS	AT8T
97A6	PS-CMP	G150
97A7	PS-CCA	BE20
97A8	PU-LIP	RV9
97A9	PS-FLA	S22T
97AB	PS-DJG	PC12
97AD	PS-TGG	PAY1
97AE	PR-YJE	A21N
97AF	PS-AMG	BE9L
97B0	PS-AMR	PC12
97B1	PR-OPA	A109
97B2	PS-IFF	EC45
97B3	PR-HAJ	EC45
97B4	PS-HAH	EC45
97B5	PR-ZFT	RV10
97B6	PS-SIN	R66
97B9	PS-ABL	PAY3
97BB	PR-OTQ	EC75
97BC	PR-OTP	EC75
97BD	PS-PLF	S22T
97BE	PS-BDJ	GLF5
97BF	PR-OTY	A189
97C0	PR-OTN	EC75
97C1	PR-OTS	EC75
97C2	PS-HDP	C25M
97C5	PP-VEE	LJ45
97C6	PS-CEC	BE9L
97C7	PS-LGP	LJ40
97CD	PS-BUS	SR22
97CE	PT-ZDK	E390
97D2	PS-ALR	BE9L
97D3	PT-VKE	PA31
97D4	PS-UMF	C510
97D5	PS-GSF	PC12
97D7	PP-FFY	PA34
97D8	PS-SMT	AS50
97D9	PS-OGP	C750
97DB	PS-ELT	PAY3
97DD	PS-RBS	BE9L
97DE	PS-DRM	SF50
97DF	PS-FTX	SF50
97E0	PS-AGA	GLF5
97E1	PS-YES	SF50
97E2	PS-FMV	GLF5
97E3	PS-CSE	GLF6
97E4	PP-MIX	LJ45
97E5	PS-GPC	B38M
97E6	PS-GPB	B38M
97E7	PS-GPA	B38M
97E8	PR-VMB	AS50
97E9	PP-MSV	A109
97EA	PS-CHZ	E50P
97EC	PS-SLJ	LJ45
97ED	PS-PAJ	P46T
97EF	PS-MBX	BE40
97F1	PS-FGN	BE20
97F4	PS-EAC	P46T
97F5	PR-OTU	A139
97F6	PT-KMZ	C182
97F7	PR-FKA	A119
97FA	PS-UDS	BE20
97FC	PR-DAR	BE9L
97FD	PS-AAC	SR22
97FE	PS-CEU	C25M
97FF	PS-CDS	S76
9801	PR-FKB	A119
9802	PP-JLP	BE40
9803	PS-TLC	P46T
9804	PS-FFL	SF50
9805	PS-ALC	BE9L
9806	PS-GTO	BE20
9807	PS-ALT	BE9L
9808	PS-RNR	BE9T
9809	PS-PHI	BE20
980A	PP-JDG	SR22
980B	PS-CTA	BE20
980C	PS-RAK	P46T
980D	PP-PFR	P46T
980E	PS-BEE	ASTR
980F	PS-BOI	R66
9810	PS-HYY	BE9L
9812	PS-KRC	BE9L
9813	PS-DUA	C208
9814	PS-FBA	M600
9815	PS-HMH	BE40
9816	PR-FIR	DA62
9817	PS-ICP	BE9L
9818	PT-YEI	B06
9819	PS-TEC	BE40
981A	PS-RJS	BE9L
981C	PT-KZN	C185
981D	PS-WYD	E50P
981E	PP-SKY	BE20
981F	PS-FVF	A169
9820	PS-BUR	BE20
9821	PS-FAD	C55B
9823	PS-FRS	BE20
9824	PS-JFJ	BE20
9825	PS-OIG	C56X
9829	PS-CNA	C208
982A	PS-CNB	C208
982B	PS-BIH	B350
982C	PS-KYT	PA46
982D	PS-JMP	BE20
982E	PS-JES	BE40
982F	PS-BED	GLF5
9830	PR-YJF	A21N
9833	PS-MGF	A320
9834	PS-BMD	LJ31
9835	PS-ELO	E55P
9836	PP-JJW	BE20
9838	PS-VIC	PAY1
9839	PS-PUB	BE10
983A	PS-LCQ	BE9L
983B	PR-JIM	BE58
983C	PS-ATH	AS50
983D	PS-PLG	SR22
983E	PS-PLH	SR22
983F	PS-GFT	P46T
9840	PR-FKG	A119
9842	PR-FKE	A119
9843	PR-FKD	A119
9844	PR-FKC	A119
9845	PS-BVD	C525
9848	PS-CTB	C208
9849	PS-LAA	B789
984A	PS-GUA	TBM8
984B	PS-VLS	SF50
984C	PS-PLI	SR22
984E	PS-THI	B505
984F	PS-NTV	BE20
9851	PR-GRA	B38M
9855	PS-LEV	BE9L
9857	PT-LGU	PA31
9858	PS-DRA	BE20
9859	PT-JJP	C310
985A	PS-GGO	BE9L
985B	PS-HMA	B505
985D	PS-MRT	PAY1
985E	PP-MPS	BE9L
985F	PS-GSR	PC12
9865	PS-VLA	M600
9866	PR-YSI	A20N
9868	PS-SPC	BE40
986B	PT-GCT	PAY1
986C	PT-LLR	BE9L
986D	PS-BJS	EC45
986E	PS-JAQ	EC45
986F	PS-FSG	EC30
9872	PP-LIS	SR22
9873	PS-HCS	BE20
9874	PS-EGH	BE9L
9875	PS-WUC	B429
9876	PS-SJT	BE40
9877	PT-WNS	MUS2
9879	PR-STD	MU2
987A	PR-STP	MU2
987B	PS-GMR	P46T
987C	PR-FHC	C210
987E	PS-VJF	C208
987F	PS-GTD	BE40
9880	PS-AVT	BE20
9883	PS-EAK	BE20
9886	PS-ZEU	MU2
9887	PS-AAV	GLF5
9888	PS-JSR	FA50
9889	PS-GPN	B38M
988A	PS-ECB	PC24
988B	PS-GPM	B38M
988C	PS-GPL	B38M
988D	PS-GPK	B38M
988E	PS-GPJ	B38M
988F	PS-GPI	B38M
9890	PS-GPH	B38M
9891	PS-GER	AS50
9892	PR-PUB	AS50
9893	PS-RBA	S22T
9895	PS-RIG	BE9L
9897	PS-GBP	E110
9899	PR-LRM	P46T
989C	PS-MLV	C56X
98A0	PS-CAV	E75S
98A1	PS-DPF	E75S
98A2	PS-YCO	PA46
98A3	PP-UBM	A169
98A4	PT-DVJ	BE35
98A7	PR-BCR	GLF5
98A8	PS-MRL	GALX
98A9	PT-WOF	BE20
98AA	PR-SLA	B738
98AC	PT-RHX	P32R
98AE	PS-FSC	E55P
98AF	PS-KOT	P46T
98B0	PR-AKN	AT76
98B1	PR-AKM	AT76
98B2	PR-AKO	AT76
98B3	PS-BIG	C208
98B4	PT-LUM	BE33
98B5	PS-LJD	C525
98B6	PS-ABR	AS50
98B7	PS-STV	MU2
98B8	PS-AGP	BE9L
98C3	PS-DUN	P46T
98C4	PS-AMP	PAY1
98C6	PT-MMB	BE20
98C7	PR-SOJ	SR22
98C8	PS-BVP	BE20
98C9	PS-JUR	BE20
98D5	PS-WLA	B350
98D6	PS-MNT	PA46
98D8	PS-STZ	C208
98DA	PS-ESM	B505
98DC	PT-YJH	B06
98DD	PS-GUM	SF50
98E0	PT-RLN	P28B
98E2	PS-LGM	PAY1
98E3	PS-HAN	B407
98E6	PS-HDG	BE40
98E7	PT-WJF	BE9L
98EA	PR-PDW	AT75
98EC	PS-FHO	BE20
98EE	PS-FHT	E55P
98F0	PR-VZR	GLF4
98F1	PS-CAR	EC45
98F2	PS-MAK	GLEX
98F3	PS-MGE	P46T
98F5	PS-SCC	C25B
98F9	PS-MDX	DA40
98FA	PS-SFM	DA62
98FD	PS-BLV	S22T
98FE	PS-CSF	C25C
9900	PS-NEY	B350
9901	PS-LLT	EC45
9902	PS-BAN	BE20
9903	PS-MAD	BE9L
9904	PS-VMF	PAY2
9906	PR-JSF	BE9L
9907	PT-TPA	A319
9908	PT-TPB	A319
990A	PR-DNP	BE9L
990C	PT-LXY	BE9T
990D	PS-RAM	M600
9910	PS-ASG	BE40
9911	PS-PLK	SR22
9912	PR-ZDL	RV10
9913	PP-EMN	E121
9914	PS-ASF	C25M
9916	PS-GOR	BE20
9917	PS-APC	A169
991A	PS-LSS	BE20
991B	PS-RVX	C25M
991D	PP-CJM	BE40
991F	PR-JKE	S92
9920	PR-RGS	C152
9921	PR-JHC	A139
9922	PT-WPN	BE9L
9923	FAB1446	TUCA
9924	FAB1426	TUCA
9925	FAB1383	TUCA
9926	FAB1439	TUCA
9927	FAB1442	TUCA
9928	FAB1312	TUCA
9929	FAB1441	TUCA
992A	FAB1443	TUCA
992B	FAB1389	TUCA
992E	FAB1438	TUCA
992F	FAB1425	TUCA
9930	FAB1447	TUCA
9931	FAB1394	TUCA
9932	FAB1444	TUCA
9933	FAB1418	TUCA
9934	FAB1368	TUCA
9936	FAB1372	TUCA
993A	FAB1416	TUCA
993C	FAB1437	TUCA
9945	FAB1430	TUCA
9947	FAB1414	TUCA
9948	FAB1341	TUCA
9949	FAB1357	TUCA
994B	PS-ILU	BE40
994C	PS-CSC	R44
994D	PT-TMT	A319
994E	PS-MED	P46T
9950	PS-ABJ	A109
9952	PP-BFB	GL7T
9954	PP-VMP	EC30
9955	PS-GPF	B38M
9956	PS-GPD	B38M
9957	PS-GPG	B38M
9958	PS-GPE	B38M
9959	PS-CND	C208
995A	PS-CNC	C208
995B	PR-LTH	C172
995C	PS-MAC	C172
995D	PS-MIB	C25M
995F	PS-RMD	BE20
9961	PS-FDN	E55P
9962	PS-RTN	E55P
9964	PS-VGP	SF50
9965	PS-LUZ	BE20
9966	PS-DZE	BE40
9967	PS-PHU	C525
9968	PS-UNI	BE9L
9969	PS-ZTC	M600
996C	PS-LUW	BE20
996D	PS-MAM	GLF5
996F	PS-CCB	BE40
9970	PR-OTW	A139
9973	PS-BDB	HDJT
9974	PP-EIC	E121
9975	PS-JAV	C25C
9976	PS-GFS	PAY1
9979	PT-LDI	C500
997A	PS-SDS	AS50
997B	PS-GAP	C208
997C	PR-XBI	A20N
997D	PR-OTI	A139
997E	PP-SGL	EC30
997F	PS-DUB	C208
9980	PS-GBJ	BE20
9982	PS-URB	LJ31
9983	PS-RAR	E55P
9984	PT-WFF	BE33
9985	PS-VAN	BE20
9987	PS-ARI	BE9L
9989	PS-EFR	B407
998A	PS-RDR	CL60
998B	PS-MAS	EC55
998D	PS-BIR	GLEX
998E	PS-THG	B350
998F	PS-BLA	EC45
9990	PS-NEI	EC45
9993	PP-NBZ	AT8T
9994	PS-MVC	WW24
9997	PS-MEP	C25C
9999	PS-MIM	C208
999A	PS-TES	B407
999C	PS-SOY	B350
999D	PR-XBJ	A20N
999E	PR-XBK	A20N
999F	PR-XBL	A20N
99A0	PS-MZF	BE20
99A1	PS-FBR	C208
99A2	PS-JSE	C182
99A3	PS-CAE	SR22
99A4	PR-IVP	SR22
99A5	PR-ERN	SF50
99AC	PR-LTS	SR22
99AE	PS-VAM	P46T
99B1	PS-LOT	C25B
